Range	Threshold	PRA	SZ	SG	Remarks	Times	Plot
06/05/2025 20:00 - 07/05/2025 04:00	5.16319312301215	5.6	86.037	15.3768	Anomalies due to drop in S_G	22:00–23:00	PRA_20250507.png
07/05/2025 20:00 - 08/05/2025 04:00	34.4263684299741				Anomalies mixed S_G/S_Z changes	22:00–23:00, 23:00–00:00	PRA_20250508.png
08/05/2025 20:00 - 09/05/2025 04:00	30.5621511420358	33.89	84.7088	2.4998	Unable to determine cause (no prior sample)	20:00–21:00	PRA_20250509.png
12/05/2025 20:00 - 13/05/2025 04:00	2.95573353655064	3.06	64.7152	21.1348	Anomaly due to drop in S_G	23:00–00:00	PRA_20250513.png
13/05/2025 20:00 - 14/05/2025 04:00	7.67165964106248	6.91	78.0037	11.2962	No prior data	20:00–21:00	PRA_20250514.png
16/05/2025 20:00 - 17/05/2025 04:00	10.8708716645556	11.73	45.9805	3.9187	Unable to determine (No prior data)	20:00–21:00	PRA_20250517.png
21/05/2025 20:00 - 22/05/2025 04:00	3.56668075805183	3.48	96.6518	27.7992	Unable to determine (No prior data)	20:00–21:00	PRA_20250522.png
23/05/2025 20:00 - 24/05/2025 04:00	32.8443207711069	32.04	80.1779	2.5021	Anomaly due to drop in S_G	23:00–00:00	PRA_20250524.png
24/05/2025 20:00 - 25/05/2025 04:00	19.107353330366	18.69	86.8499	4.6474	Unable to determine (No prior data)	20:00–21:00	PRA_20250525.png
27/05/2025 20:00 - 28/05/2025 04:00	8.93679788822034	9.37	290.9852	31.0457	Anomaly due to increase in S_Z	01:00–02:00	PRA_20250528.png
02/06/2025 20:00 - 03/06/2025 04:00	6.68901833341589	6.84	93.6967	13.7067	Unable to determine (No prior data)	20:00–21:00	PRA_20250603.png
06/06/2025 20:00 - 07/06/2025 04:00	27.000265564906	29.08	236.0718	8.1184	Anomaly due to drop in S_G	22:00–23:00	PRA_20250607.png
07/06/2025 20:00 - 08/06/2025 04:00	143.823553221329	159.87	275.54	1.7235	Anomaly due to increase in S_Z	00:00–01:00	PRA_20250608.png
10/06/2025 20:00 - 11/06/2025 04:00	12.9006580180499	12.5	82.8938	6.6314	Unable to determine (No prior data)	20:00–21:00	PRA_20250611.png
14/06/2025 20:00 - 15/06/2025 04:00	13.2236810292776	14.48	173.4436	11.9785	Anomaly due to drop in S_G	21:00–22:00	PRA_20250615.png
17/06/2025 20:00 - 18/06/2025 04:00	7.71334442250832	8.24	510.744	62.0006	Anomaly due to increase in S_Z	21:00–22:00	PRA_20250618.png
20/06/2025 20:00 - 21/06/2025 04:00	20.5799819862277				Anomaly due to increase in S_Z, Anomaly due to increase in S_Z	21:00–22:00, 02:00–03:00	PRA_20250621.png
21/06/2025 20:00 - 22/06/2025 04:00	24.111825073245	26.56	317.3846	11.9485	Anomaly due to drop in S_G	22:00–23:00	PRA_20250622.png
23/06/2025 20:00 - 24/06/2025 04:00	35.4457543284491	37.18	98.759	2.6559	Anomaly due to drop in S_G	21:00–22:00	PRA_20250624.png
27/06/2025 20:00 - 28/06/2025 04:00	4.61313371572589	4.66	470.7228	101.0986	Anomaly due to increase in S_Z	02:00–03:00	PRA_20250628.png
28/06/2025 20:00 - 29/06/2025 04:00	42.2812061843246	45.32	461.3211	10.1783	Anomaly due to increase in S_Z	23:00–00:00	PRA_20250629.png
01/07/2025 20:00 - 02/07/2025 04:00	34.4001014894647	37.77	94.0156	2.4889	Anomaly mixed S_G/S_Z change	01:00–02:00	PRA_20250702.png
02/07/2025 20:00 - 03/07/2025 04:00	115.161300856591	127.71	203.1168	1.5904	Anomaly due to increase in S_Z	22:00–23:00	PRA_20250703.png
05/07/2025 20:00 - 06/07/2025 04:00	18.2521569595821	19.44	95.7229	4.9241	Anomaly due to drop in S_G	22:00–23:00	PRA_20250706.png
